submatrix,d_env,env_sd_mc,cauchy,trait_sds,env_sd_lh,recruitment,dispersal,age_crit,mass_crit,clustering,dispersion,gradient,runtime,extinct,nind,S,index
1,2.2265625,4.35390625,2.23984375,0.6953125,4.84375,2.265625,8.828125,18.3671875,2.3359375,0.5546875,0.8203125,random,95.81531684398651,FALSE,461565,211,1117
1,2.2265625,4.35390625,2.23984375,0.6953125,4.84375,2.265625,8.828125,18.3671875,2.3359375,0.5546875,0.8203125,clustered,104.86618947982788,FALSE,462346,216,1118
1,2.2265625,4.35390625,2.23984375,0.6953125,4.84375,2.265625,8.828125,18.3671875,2.3359375,0.5546875,0.8203125,correlated,96.26345708767573,FALSE,462893,215,1119
A,4.53125,6.596875,16.440625,0.34375,1.125,7.1875,9.6875,11.09375,18.21875,0.21875,0.84375,linear,77.79684386650722,FALSE,422563,445,112
1,2.2265625,4.35390625,2.23984375,0.6953125,4.84375,2.265625,8.828125,18.3671875,2.3359375,0.5546875,0.8203125,linear,96.75710117419561,FALSE,461530,228,1120
1,0.1953125,4.04453125,15.46796875,0.7890625,1.46875,1.328125,7.265625,5.8984375,7.6796875,0.0859375,0.4140625,random,20.057851910591125,FALSE,142311,450,1121
1,0.1953125,4.04453125,15.46796875,0.7890625,1.46875,1.328125,7.265625,5.8984375,7.6796875,0.0859375,0.4140625,clustered,27.95465888182322,FALSE,143219,449,1122
1,0.1953125,4.04453125,15.46796875,0.7890625,1.46875,1.328125,7.265625,5.8984375,7.6796875,0.0859375,0.4140625,correlated,24.15147846142451,FALSE,142365,448,1123
1,0.1953125,4.04453125,15.46796875,0.7890625,1.46875,1.328125,7.265625,5.8984375,7.6796875,0.0859375,0.4140625,linear,18.678640154997506,FALSE,142660,449,1124
1,2.6953125,8.99453125,3.01796875,0.2890625,3.46875,6.328125,2.265625,15.3984375,17.1796875,0.5859375,0.9140625,random,74.74484458764394,FALSE,376695,173,1125
1,2.6953125,8.99453125,3.01796875,0.2890625,3.46875,6.328125,2.265625,15.3984375,17.1796875,0.5859375,0.9140625,clustered,116.89174854358038,FALSE,377279,197,1126
1,2.6953125,8.99453125,3.01796875,0.2890625,3.46875,6.328125,2.265625,15.3984375,17.1796875,0.5859375,0.9140625,correlated,82.53558938105901,FALSE,376157,181,1127
1,2.6953125,8.99453125,3.01796875,0.2890625,3.46875,6.328125,2.265625,15.3984375,17.1796875,0.5859375,0.9140625,linear,104.54442414442698,FALSE,374259,177,1128
1,3.9453125,6.51953125,9.24296875,0.5390625,2.46875,3.828125,9.765625,10.6484375,2.9296875,0.8359375,0.6640625,random,65.4315288066864,FALSE,420671,401,1129
A,0.15625,2.8843750000000004,19.553125,0.71875,1.625,8.4375,5.9375,18.21875,11.09375,0.84375,0.96875,random,112.83476868867874,FALSE,494234,450,113
1,3.9453125,6.51953125,9.24296875,0.5390625,2.46875,3.828125,9.765625,10.6484375,2.9296875,0.8359375,0.6640625,clustered,68.18999502658843,FALSE,421550,404,1130
1,3.9453125,6.51953125,9.24296875,0.5390625,2.46875,3.828125,9.765625,10.6484375,2.9296875,0.8359375,0.6640625,correlated,65.47807508309683,FALSE,421449,383,1131
1,3.9453125,6.51953125,9.24296875,0.5390625,2.46875,3.828125,9.765625,10.6484375,2.9296875,0.8359375,0.6640625,linear,62.424223351478574,FALSE,420804,404,1132
1,1.4453125,1.56953125,21.69296875,0.0390625,4.46875,8.828125,4.765625,1.1484375,12.4296875,0.3359375,0.1640625,random,63.0794442653656,FALSE,526678,450,1133
1,1.4453125,1.56953125,21.69296875,0.0390625,4.46875,8.828125,4.765625,1.1484375,12.4296875,0.3359375,0.1640625,clustered,116.23683789571126,FALSE,526811,450,1134
1,1.4453125,1.56953125,21.69296875,0.0390625,4.46875,8.828125,4.765625,1.1484375,12.4296875,0.3359375,0.1640625,correlated,61.22296057939529,FALSE,527300,450,1135
1,1.4453125,1.56953125,21.69296875,0.0390625,4.46875,8.828125,4.765625,1.1484375,12.4296875,0.3359375,0.1640625,linear,64.41605258782705,FALSE,525638,450,1136
1,0.8203125,7.75703125,18.58046875,0.9140625,4.96875,5.078125,1.015625,8.2734375,19.5546875,0.7109375,0.0390625,random,55.01399227778117,FALSE,319940,443,1137
1,0.8203125,7.75703125,18.58046875,0.9140625,4.96875,5.078125,1.015625,8.2734375,19.5546875,0.7109375,0.0390625,clustered,57.33808054526647,FALSE,320699,443,1138
1,0.8203125,7.75703125,18.58046875,0.9140625,4.96875,5.078125,1.015625,8.2734375,19.5546875,0.7109375,0.0390625,correlated,64.4296731074651,FALSE,320273,448,1139
